ticker,alpha,MERCADO,VALUE,TAMANO,MOMENTUM,VOLATILIDAD,LIQUIDEZ,r2,n_obs,suma_beta
CAT,0.0027687293076498073,0.9290777175040554,0.17759726571242718,0.24023226778885085,0.09849563678475969,-0.592666564286668,0.14726367649657474,0.47183359364203736,178,0.9999999999999998
CB,0.0029976240262830096,0.5893201879782025,0.1374463123855828,0.14901765293257424,0.19247644337976189,0.35096083727815686,-0.41922143395427824,0.37133663287156005,93,0.9999999999999999
CCI,-0.004053607118131228,0.5734689204568857,-0.17704400082705712,0.6739864053789267,-0.1269974780011877,0.5378781413184375,-0.4812919883260051,0.3829438466319094,24,0.9999999999999998
CHTR,-0.0010675441763626995,1.1367144793019288,-0.15378271057363224,0.41364737523569317,-0.3536496339709492,0.406768977762916,-0.44969848775595667,0.37970816267829033,72,0.9999999999999998
CI,0.005381109655097531,0.37285178038667754,1.2199569386373834,-0.07244531261569485,-0.024492719601723723,-0.1643192746683121,-0.3315514121383304,0.44084364904421214,48,0.9999999999999999
CL,0.001055807892727658,0.9206394117057832,-0.5177003723073581,0.17017531662356777,-0.4915240095630007,0.6412776835463417,0.27713196999466605,0.61821557778447,121,1.0
CMCSA,-0.00182430935972638,1.0422235424461699,0.13016664168174236,0.17398460186736503,-0.421650466919364,0.26904872528844365,-0.19377304436435694,0.456103614465853,181,1.0
CME,0.01577178524004048,-0.1156711099038481,0.6376933403082412,-0.15999217413368286,0.8344057667498961,0.21711320012651408,-0.4135490231471206,0.2964700484220033,24,1.0
COF,0.004349951405333729,1.3273577569831803,0.2463194491061987,-0.3559679721998087,-0.08083869031143255,0.11114426636700223,-0.2480148099451398,0.36799227826485337,57,0.9999999999999998
COP,0.00166437656337485,0.4832536575022379,0.8514494294665149,0.3455235393629449,-0.07339384663215286,-0.1697598100576299,-0.43707296964191517,0.3156308869324074,178,1.0
COST,0.007663914693071786,0.9250807731020256,-0.3222919176259126,0.13448682861013855,-0.05381506518815089,0.36367503771460163,-0.04713565661270232,0.41126826275133965,190,1.0
CRM,0.0010164423235812267,1.4359362823031934,-0.3415948760522578,0.07986890332385005,-0.2477693164264367,0.23566420526301668,-0.16210519841136567,0.31805694258241013,141,0.9999999999999998
CRWD,,,,,,,,,21,
CSCO,0.003225900469379675,0.9296264521418218,0.18255206928875573,0.027663382403583084,-0.03249254683549953,-0.21997883048505215,0.1126294734863911,0.3769640418905956,190,0.9999999999999999
CSX,0.007041983637236913,1.129507513702924,-0.6663772264611557,0.15374545600725076,-0.3506757153853155,0.08174635587113366,0.6520536162651629,0.5843462099093432,24,1.0
CVS,0.0005748637119424958,0.7308543931115394,0.19611573153965706,0.10206309114605935,0.1054942811748599,0.07045752847272475,-0.20498502544484054,0.2324159014050292,166,0.9999999999999999
CVX,0.001860643912494033,0.8792023657680127,0.6675038352681182,-0.053688595027285374,-0.2027297995505638,0.011185889035818575,-0.30147369549410025,0.47214950385041854,190,1.0
D,0.010935279454223252,0.5934301082603801,-0.3193931739240248,-0.20989460023345363,-0.29049371813901187,0.6532187728225567,0.5731326112135535,0.458622583428276,85,1.0
